"Perioden";"Gemiddeld kindertal per vrouw/Gemiddeld kindertal per vrouw (aantal)"
"1950";3,097
"1951";3,051
"1952";3,087
"1953";3,033
"1954";3,029
"1955";3,033
"1956";3,054
"1957";3,08
"1958";3,107
"1959";3,171
"1960";3,122
"1961";3,217
"1962";3,176
"1963";3,193
"1964";3,166
"1965";3,039
"1966";2,903
"1967";2,814
"1968";2,716
"1969";2,748
"1970";2,572
"1971";2,362
"1972";2,151
"1973";1,904
"1974";1,773
"1975";1,664
"1976";1,632
"1977";1,579
"1978";1,583
"1979";1,563
"1980";1,602
"1981";1,563
"1982";1,496
"1983";1,468
"1984";1,491
"1985";1,511
"1986";1,552
"1987";1,558
"1988";1,545
"1989";1,553
"1990";1,617
"1991";1,612
"1992";1,587
"1993";1,572
"1994";1,569
"1995";1,531
"1996";1,529
"1997";1,562
"1998";1,628
"1999";1,652
"2000";1,723
"2001";1,71
"2002";1,731
"2003";1,747
"2004";1,726
"2005";1,708
"2006";1,72
"2007";1,718
"2008";1,773
"2009";1,79
"2010";1,796
"2011";1,759
"2012";1,723
"2013";1,679
"2014";1,713
"2015";1,658
"2016";1,663
"2017";1,619
"2018";1,586
"2019";1,574
